Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;Url_foto;Url_vivienda
 996542-4104;Piso;Salamanca/Castellana;Castellana ;Salamanca; Madrid Capital;156.0;142.0;0.0;3;2; 6; Entre 30 y 50 años; Reformado;;3350.0;21.47;3886.67;27.61;25956.0;60217.0;Precioso ático con bonita terraza de 14 m2, muy independiente en barrio Salamanca. Garaje opcional a 150 euros. Ventanas climalit. Exterior. 2 ascensores.Conserje.;https://fotos.imghs.net/apps/1097/225/1097_0_foto_20181025121211718_945856909589225.jpg;https://www.pisos.com/alquilar/piso-salamanca_castellana28006-945856909589225_109700/
 SA88-ALQSQPLPP;Piso;Calle del Príncipe de Vergara, cerca de Calle Jorge Juan;Goya ;Salamanca; Madrid Capital;137.0;130.0;0.0;2;2; 5;; En buen estado;;5800.0;42.34;3886.67;27.61;25956.0;60217.0;"DIZA CONSULTORES presenta este piso reformado y amueblado con una ubicación inmejorable al lado de el parque de El Retiro.

En un edificio clásico, con fachada representativa de principios de siglo XX, se encuentra ubicada esta vivienda en una 5ª planta con 3 balcones que dan a la calle, siendo el salón y dormitorio principal exteriores.

Toda la vivienda ha sido reformada cuidando hasta el más mínimo detalle y con las mejores calidades del mercado. La vivienda posee una superficie de 146 metros cuadrados catastrales distribuidos en hall de entrada, comedor, aseo de visitas, cocina con office totalmente equipada y amueblada, comedor, salón, 2 dormitorios teniendo el principal baño en suite, balcón exterior y walking closet.

Desde sus balcones exteriores podemos ver el Parque del Retiro y posee una luz envidiable gracias a sus ventanales, su altura y su orientación Oeste.

DIZA Consultores Inmobiliarios.

Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.

Convertimos Sueños en Hogares.";https://fotos.imghs.net/apps/1005/981/1005_3805981_1_2023113013110714680.jpg;https://www.pisos.com/alquilar/piso-goya28001-39251750231_100500/
 996542-3648-AM;Piso;Calle Gran Vía, cerca de Calle de García Molinas;Universidad-Malasaña ;Centro; Madrid Capital;82.0;80.0;0.0;2;2; 4; Menos de 5 años; A estrenar;;3200.0;39.02;2787.63;26.98;19199.0;38360.0;"Diplomatic Real Estate ofrece piso moderno con buen mobiliario a un paso de Plaza de España.
Salón comedor de 26 m2 y recibidor.
2 dormitorios, el principal con baño con bañera y ducha independiente y cama doble. El segundo dormitorios con 2 camas individuales de 0,90 cm.
2 baños.
Cocina semi abierta al salón equipada con electrodomésticos alta gama.
1 plaza de garaje con acceso directo.
Terraza comunitaria con piscina y vistas espectaculares de Madrid,
Gimnasio.
Armario empotrados.
Domótica.
Conserje y vigilancia 24 horas.
Esperamos su llamada,
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles";https://fotos.imghs.net/apps/996542/35053241457.996542/996542_35053241457_1_20230630130503611.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28004-35053241457_996542/
 SA4389-MC03518/9935;Piso;Avenida de Camilo José Cela;Guindalera ;Salamanca; Madrid Capital;110.0;109.0;0.0;2;2; 6;;;;2300.0;20.91;3886.67;27.61;25956.0;60217.0;"Piso, Madrid (Salamanca)

Características básicas
110 m² construidos
2 habitaciones
2 baños
Terraza
Plaza de garaje por 110 €/mes adicionales
Segunda mano/buen estado
Armarios empotrados
Orientación sur, este
Amueblado y cocina equipada
Calefacción individual: Gas propano/butano
Edificio
Planta 6ª exterior
Con ascensor
Equipamiento
Aire acondicionado
Zonas verdes";https://fotos.imghs.net/apps/1005/935/1005_209345149935_1_2024020712024913335.jpg;https://www.pisos.com/alquilar/piso-guindalera28028-41712379749_100500/
 SA88-ALQATCALM;Piso;Calle de García de Paredes, cerca de Calle de Zurbano;Almagro ;Chamberí; Madrid Capital;430.0;387.0;0.0;4;5; 7;; Reformado;;6500.0;15.12;3441.98;25.93;25275.0;56281.0;"DIZA Consultores les presenta esta vivienda en pleno barrio de Almagro.

Se trata de una vivienda muy singular con un hall de entrada muy representativo con chimenea de onix blanco.

Dispone de una amplia zona de salones en dos ambientes con acceso a una terraza muy privada de 35 metros, un gran comedor con espacio para 20 comensales.

La suite principal tiene un magnifico cuarto de baño y zona de vestidor. Cuenta con dos dormitorios dobles que comparten un cuarto de baño. El cuarto dormitorio puede usarse para invitados o para personal de servicio, y tiene un baño en suite.

La vivienda cuenta con aire acondicionado y dispone de calefacción central incluida en el precio.
Cocina completamente equipada y amueblada, muy buenas calidades y zona de lavandería.

La finca cuenta con portero físico y ascensor.

DIZA Consultores Inmobiliarios.

Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.

Convertimos Sueños en Hogares.";https://fotos.imghs.net/apps/1005/946/1005_3509946_1_2022052419052613950.jpg;https://www.pisos.com/alquilar/piso-chamberi_almagro28010-24254001404_100500/
 4521170-DE-404-24022020AL-88797594;Apartamento;Calle de Juan Ramón Jiménez, 8;Hispanoamérica ;Chamartín; Madrid Capital;76.0;;0.0;1;2; 4;;;;2200.0;28.95;3396.94;22.37;28233.0;69670.0;Acogedor y magnífico piso en alquiler, muy luminoso, totalmente reformado, ubicado en el corazón del distrito financiero de Madrid, A tan sólo unos minutos del Paseo de la Castellana, una de las arterias principales de la ciudad, en la misma avenida que el famoso estadio del Real Madrid, el Santiago Bernabeu, y rodeado de un sinfín de tiendas y restaurantes puedes encontrar tu residencia en un piso de lujo, decorado con detalles exquisitos y ayudarte en tu traslado laboral o simplemente para tu descanso.Distribuido en salón comedor bañado con una magnífica luz natural gracias a sus grandes ventanales, cocina completamente equipada con electrodomésticos de alta gama, lavavajillas, lavadora/secadora, horno, microhondas, placa, capana, frigorífico, etc e integrada al salón lo que crea un ambiente amplio y cómodo, gran habitación con su baño completo en suite, armarios empotrados con detalles que hagan tu estancia más cómoda, este inmueble incluye otro baño completo y 2 sofas cama de diseño, como todo el apartamento de 135cm.Al estar ubicado en Las Estancias del Eurobuilding, puedes disfrutar de todos los beneficios que esto te aporta, se accede al hotel directamente sin tener que salir a la calle. Considerado el mejor hotel de ocio y negocio en Europa gracias a sus instalaciones, servicio e innovación tecnológica.Dispone también de uno de los mejores spas y Fitness Center de la capital: METROPOLITAN® Fitness Center & Spa junto con la mejor oferta gastronómica de Madrid: DiverXO (tres estrellas Michelin), DOMO by Paco Roncero, DOMO by Diego Cabrera y 99 Sushi Bar.Inmueble exterior, se entrega amueblado tal como aparece en las fotos, dispone de conserje 24 h. los 365 días de año.* El inmueble se entrega amueblado y con menaje tal cual aparece en las fotos.* Condiciones: 2 meses de fianza+mes en curso+mes de intermediación.;https://fotos.imghs.net/apps/1001/594/1001_PX76396_-_DE-404-24022020AL-88797594_1_2020061101081931250.jpg;https://www.pisos.com/alquilar/apartamento-chamartin_hispanoamerica28036-5047899255_100100/
 SA4389-MC03517/9935;Piso;Calle del Marqués de la Ensenada;Justicia-Chueca ;Centro; Madrid Capital;60.0;59.0;0.0;1;1; 5;;;;2000.0;33.33;2787.63;26.98;19199.0;38360.0;"Piso, Madrid (Madrid Centro)

Apartamento de lujo muy luminoso, reformado y completamente amueblado, incluido menaje de cocina.
Situado en el emblemático edificio Centro Colón, con magníficas y únicas vistas a la Plaza de Colón. Edificio con seguridad y conserjería 24 horas con portero físico.
El apartamento consta de un amplio salón con cocina totalmente equipada (nevera, horno, vitrocerámica, campana extractora, lavavajillas, lavadora-secadora), y de una gran habitación con cama de 1.50x2.00 y baño en suite. Grandes ventanales en salón y habitación.
Se incluyen en el precio gastos de comunidad y servicio de Internet (Fibra Óptica 300Mb).
Calefacción y A/A generados por el edificio (central).
No se incluye en el precio el consumo eléctrico ni el consumo de agua.";https://fotos.imghs.net/apps/1005/935/1005_209345259935_1_2024020712024926123.jpg;https://www.pisos.com/alquilar/piso-justicia_chueca28004-41680664607_100500/
 SA4389-MC03498/9935;Piso;Ronda de Segovia, cerca de Paseo Imperial;Imperial ;Arganzuela; Madrid Capital;123.0;120.0;0.0;4;2; 8;;;;2000.0;16.26;1677.38;22.02;20103.0;46699.0;"Piso, Madrid (Arganzuela)

Alquiler de hermoso piso sin amueblar, muy espacioso y cómodo para tu familia. Suelos de parqué recién acuchillado. Tendedero exterior. Los cuartos de baño también son exteriores. Cocina amplia. Muy luminoso. Cerca colegios, institutos, farmacias y centro de salud. Bien comunicado por autobús y metro.
-Características básicas
123 m² construidos, 111 m² útiles
4 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural
Edificio
Planta 8ª exterior
Con ascensor";https://fotos.imghs.net/apps/1005/935/1005_209347629935_1_2024020520024918047.jpg;https://www.pisos.com/alquilar/piso-imperial28005-41720221009_100500/
 EP928-11349;Piso;Barrio de Salamanca;Recoletos ;Salamanca; Madrid Capital;332.0;244.0;0.0;5;3;;; Reformado;;5900.0;17.77;3886.67;27.61;25956.0;60217.0;"ALTHENA tiene el placer de presentarles esta exclusiva vivienda en pleno Recoletos.

Ubicada en calle Lagasca, a escasos metros del parque del Retiro, la convierte en un hogar idóneo para disfrutar de la naturaleza en pleno corazón de Madrid. La zona cuenta con abundantes restaurantes, tiendas de lujo y comercios de conveniencia, cubriendo así todas nuestras necesidades sin salir de la zona mas exclusiva de la capital.

La vivienda se distribuye en cuatro dormitorios y un despacho con posibilidad de ser utilizado también como dormitorio. Tanto las estancias exteriores como las interiores gozan de fantástica luz natural gracias a sus grandes ventanas y su orientación este y oeste. El dormitorio principal cuenta con su propio mirador y lo decora una clásica chimenea conservada de origen. Otro de los dormitorios exteriores cuenta con su propio balcón a calle Lagasca.

El salón cuenta con una elegante disposición simétrica con dos balcones y dos chimeneas, permitiendo un sin fin de posibilidades de decoración y distribución, así como sus dos puertas de acceso. Sus grandes dimensiones lo convierten en un espacio ideal para albergar un gran número de invitados para cenas diplomáticas o eventos privados.

La cocina se entrega completamente equipada con electrodomésticos de alta gama y cuenta con mucha luz natural de tarde gracias a su gran ventanal y orientación oeste. Ubicado junto a la cocina encontramos un gran baño completo que hace las veces de aseo de cortesía para nuestros invitados.

Esta vivienda es ideal para embajadas y directivos que busquen comodidad y seguridad durante su estancia en Madrid. 

¡No dejes pasar esta oportunidad única en pleno Recoletos! Contacta con nosotros para solicitar mas información y agendar una visita. 

Somos Patrimonios, Somos Comunidades, Somos Inmobiliaria.
Somos ALTHENA.";https://fotos.imghs.net/apps/1093/490/1093_EP928-11349A_1_2023121210463531250.jpg;https://www.pisos.com/alquilar/piso-recoletos28001-40034560590_109300/
 501059-3681930406;Piso;Calle de Luis Peidró;Adelfas ;Retiro; Madrid Capital;143.0;143.0;0.0;4;2; 6; Entre 5 y 10 años; En buen estado;;2000.0;13.99;2506.52;22.52;23925.0;57448.0;"ISol Business alquila magnifico piso nuevo construido en 2017, equipado y listo para entrar en zona Mendez Álvaro / Retiro, barrio de Adelfas.
La zona cuenta con múltiples servicios y un buen transporte público por las líneas de METRO: Pacífico (L1): a 9 min / 750 m y Mendez Álvaro (L6) a 11 min / 800 m , RENFE/ Cercanías: Méndez Álvaro (C1, C5, C7, C10) a 11 min / 800 m y numerosas líneas de AUTOBÚS: 102, 113, 1148,... Acceso en coche a través de las vías M-30 y Avenida Ciudad de Barcelona.
La zona ofrece múltiples servicios: bancos, reataurantes, cafeterias, parques, hoteles, colegios, etc.

Se encuentra localizado a 20 minutos del aeropuerto en coche o a través de la Línea C1 de Cercanías; a menos de 15 minutos de la estación de Atocha.
Se encuentra además a un paseo de 15 minutos del Parque Enrique Tierno Galván-Planetario y 25 minutos del Retiro. A 5 minutos andando de El Corte Inglés de Méndez Álvaro.

CARACTERÍSTICAS DE LA VIVIENDA:
· Superficie total de 143 m2
· Localizado en una 6ª planta, todo exterior, muy luminoso con orientacion Sur-Oeste
∙ Dispone de 4 habitaciones: (1 de matrimonio con baño en suite + 3 medianas (todas con armarios empotrados)
∙ Baños: 2 (uno con bañera y otro con ducha)
· Amplio salón / comedor, cocina con tendedero, 4 dormitorios y 2 baños y cuenta con garaje y trastero.
∙ Cocina equipada con: frigorífico, horno, vitro, microondas, lavavajillas, lavadora, secadora, campana extractora.
∙ Terraza: Tendedero cerrado en la cocina, donde se encuentra la caldera, lavadora, secadora y tendedero de techo ajustable.
∙ Puerta blindada.
· Buenas calidades de construcción, destacando su insonorización y aislamiento.
· Carpintería exterior de aluminio (persianas con elevadores automáticos)
· Sistema de ventilación controlada de doble flujo con filtros para el mantenimiento de una óptima calidad del aire.
· Es muy espacioso y ofrece con mucho espacio de almacenamiento por rmarios empotrados en estancias y pasillos.
∙ Año de construcción: 2017
· Dispone de certificación de eficiencia energética A
∙ Calefacción: suelo radiante con control de temperatura en cada estancia.
∙ Climatización: aire acondicionado centralizado y comunicado por conductos a todas las estancias.
∙ Sistema de ventilación controlada de doble flujo.
∙ Mobiliario: se entrega sin amueblar
∙ Ascensor: 2 (hasta el garaje y trasteros)
∙ Portería/Seguridad: (Conserje 24 horas)
∙Trastero: de 8,80 m2 incluido en el precio
∙ Plaza de garaje: 1 amplia plaza (12,50 m2) incluida en alquiler
∙ Gastos de Comunidad incluidos en el alquiler
∙ Consumos privativos por cuenta del inquilino.

· La urbanización ofrece excelentes servicios en áreas comunitarias:
- Piscina comunitaria
- Sala Social-Gourmet
- Juegos infantles
- Salon de Juegos infantiles
- Gimnasio equipado.


CONTÁCTENOS Y AGENDE SU VISITA";https://fotos.imghs.net/apps/501059/40847950538.501059/501059_40847950538_1_20240119120953869.jpg;https://www.pisos.com/alquilar/piso-adelfas28007-40847950538_501059/
 996542-3506-MC;Piso;Calle de Zurbarán;Almagro ;Chamberí; Madrid Capital;80.0;74.0;0.0;2;1; 2; Entre 30 y 50 años; Reformado;;2600.0;32.5;3441.98;25.93;25275.0;56281.0;"Diplomatic Real Estate ofrece piso moderno amueblado en el barrio de Almagro con reforma del año 2021.
Salón con ventanal al exterior y cocina moderna integrada.
Hall de entrada con armarios empotrados.
2 dormitorios dobles con armarios empotrados.
1 baño con ducha.
Cocina abierta al salón equipada con electrodomésticos alta gama.
Calefacción central y aire acondicionado.
Plazas de garaje opcionales en el mismo edificio o en el contiguo con posibilidad de obtener bonos mensuales.
Persianas eléctricas.
Conserje residente.
Esperamos su llamada,
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.";https://fotos.imghs.net/apps/996542/33364756771.996542/996542_33364756771_1_20230414171413779.jpg;https://www.pisos.com/alquilar/piso-chamberi_almagro28010-33364756771_996542/
 996542-3177-AM;Ático;Paseo del General Martínez Campos, cerca de Calle de Santa Engracia;Almagro ;Chamberí; Madrid Capital;180.0;165.0;0.0;4;4; 7; Entre 30 y 50 años; Reformado;;4995.0;27.75;3441.98;25.93;25275.0;56281.0;"Diplomatic Real Estate ofrece Ático dúplex en Almagro.
Planta inferior, hall de entrada.4 dormitorios , el principal con baño en suite y cama doble, el segundo con 2 camas individuales yel tercero con cama individual. 2 baños. El cuarto dormitorio dispones de cama individual y baño en suite-.
Desde aquí se puede acceder a una pequeña terraza interior donde se encuentra la zona de lavandería-
Planta superior, desde el hall de entrada una escalera asciene a la planta superior donde encontramos un amplio salón con zona de estar y zona de comedor diferenciadas, 1 aseo, cocina equipada con menaje y espectacular terraza de 45 m2.
Esperamos su llamada, 91 564 77 00
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.";https://fotos.imghs.net/apps/996542/39171774397.996542/996542_39171774397_2_20231103143316915.jpg;https://www.pisos.com/alquilar/atico-chamberi_almagro28010-39171774397_996542/
 1794-2102765;Chalet pareado;El encinar de los Reyes;Encinar de los Reyes ;Alcobendas;La Moraleja;500.0;450.0;0.0;4;6;0; Entre 10 y 20 años; En buen estado;;5000.0;10.0;4462.56;19.35;19394.0;57962.0;"MAGNAPOL ALQUILA chalet AMUEBLADO EN régimen TEMPORAL Casa pareada de 500 metros cuadrados con parcela privada de unos 200 dentro dentro de una urbanización con seguridad las 24 horas
Hermosas zonas comunes con amplios Jardines ,piscina de adultos y de niños, pistas de paddel
Su distribución se plantea en dos plantas principales, buhardilla y sótano. La planta de entrada alberga el hall con aseo de invitados, un generoso salón de unos 50 metros cuadrados , comedor independiente y cocina con comedor de diario.
La planta superior reparte 3 dormitorios con tres baños, el principal con dos vestidores, baño en-suite y su propia terraza con preciosas vistas.
El último nivel esta ocupado por un espacio de gran tamaño con baño que puede ser destinado a cualquier uso.
El sótano ofrece gran dormitorio de servicio con su propio baño, una sala de lavado/planchado de unos 25 metros cuadrados, dos plazas de garaje...";https://fotos.imghs.net/apps/1794/904123466.179400/1794_904123466_5_20200113094736228.jpg;https://www.pisos.com/alquilar/chalet_pareado-la_moraleja_encinar_de_los_reyes-904123466_179400/
 4521170-DE-EU404-14092020AL;Piso;Calle de Juan Ramón Jiménez, 8;Castilla ;Chamartín; Madrid Capital;76.0;71.0;0.0;1;2; 4;; En buen estado;;2200.0;28.95;3396.94;22.37;28233.0;69670.0;"Alto standing, todo un lujo en pleno Madrid.

Diseño y modernidad es la descripción de este piso. Magnífico piso en alquiler, muy luminoso, totalmente reformado, ubicado en el corazón del distrito financiero de Madrid, A tan sólo unos minutos del Paseo de la Castellana, una de las arterias principales de la ciudad, en la misma avenida que el famoso estadio del Real Madrid, el Santiago Bernabeu, y rodeado de un sinfín de tiendas y restaurantes puedes encontrar tu residencia en un piso de lujo, decorado con detalles exquisitos y ayudarte en tu traslado laboral o simplemente para tu descanso.
Distribuido en salón comedor bañado con una magnífica luz natural gracias a sus grandes ventanales, cocina completamente equipada con electrodomésticos de alta gama, lavavajillas, lavadora/secadora, horno, microhondas, placa, capana, frigorífico, etc e integrada al salón lo que crea un ambiente amplio y cómodo, gran habitación con su baño completo en suite, armarios empotrados con detalles que hagan tu estancia más cómoda, este inmueble incluye otro baño completo y 2 sofas cama de diseño, como todo el apartamento, de 135cm.

Al estar ubicado en Las Estancias del Eurobuilding, puedes disfrutar de todos los beneficios que esto te aporta, se accede al hotel directamente sin tener que salir a la calle. Considerado el mejor hotel de ocio y negocio en Europa gracias a sus instalaciones, servicio e innovación tecnológica. Dispone también de uno de los mejores spas y Fitness Center de la capital: METROPOLITAN® Fitness Center Spa junto con la mejor oferta gastronómica de Madrid: DiverXO (tres estrellas Michelin), DOMO by Paco Roncero, DOMO by Diego Cabrera y 99 Sushi Bar. Inmueble exterior, se entrega amueblado tal como aparece en las fotos, dispone de conserje 24 h. los 365 días de año.

*El inmueble se entrega amueblado y con menaje tal cual aparece en las fotos.

* Condiciones: 2 meses de fianza+mes en curso+mes de intermediación.";https://fotos.imghs.net/apps/521170/7584725985.521170/521170_7584725985_1_20200914164909231.jpg;https://www.pisos.com/alquilar/piso-castilla28036-7584725985_521170/
 SA88-ALQGVa205c;Apartamento;Calle de Atocha, cerca de Calle de Relatores;Embajadores-Lavapiés ;Centro; Madrid Capital;55.0;;0.0;1;1; 4;; En buen estado;;2010.0;36.55;2787.63;26.98;19199.0;38360.0;"DIZA Consultores les presenta esta fantástica promoción reformada en pleno centro histórico de Madrid.

Se trata de un apartamento de 1 dormitorio, 1 baño, con cocina y amplio salón en el cual viene TODO INCLUIDO; Luz, agua, calefacción, aire acondicionado e internet de alta velocidad.

Es una promoción de altas calidades, cuidando todo al máximo detalle, está disponible por meses, siendo un lugar perfecto para estar tanto estancias cortas como largas en el centro de Madrid.

DIZA Consultores Inmobiliarios.

Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.

Convertimos Sueños en Hogares.";https://fotos.imghs.net/apps/1005/154/1005_3607154_1_2022102612100482405.jpg;https://www.pisos.com/alquilar/apartamento-centro_embajadores_lavapies28012-28425286595_100500/
 SA92-104312/EV;Piso;Retiro;Jerónimos ;Retiro; Madrid Capital;140.0;125.0;0.0;2;3; 1;; En buen estado;;3000.0;21.43;2506.52;22.52;23925.0;57448.0;"El Viso Inmobiliaria ofrece piso/apartamento de lujo de unos 140 m2c. en finca representativa frente al Retiro. Muy luminoso con orientación Sur y 2 balcones a la calle. Consta de la siguiente distribución:
Hall, gran cocina equipada con office y cuarto de baño completo, con ducha. Galería de acceso a zona de recibo, aseo de invitados, amplio salón-comedor en 2 ambientes más despacho (puede ser un segundo dormitorio), dormitorio principal en suite (baño y closed).
Buenas calidades, techos altos con molduras, suelos de tarima, aire acondicionado.
Gastos de comunidad con servicio de conserjería incluidos. Se admiten mascotas.

Finca situada en el Barrio de Los Jerónimos, en el Distrito de Retiro, conocido por tener dentro de su área el Parque del Retiro, el pulmón del centro de la ciudad, y el Museo del Prado, una de las pinacotecas más importantes del mundo, cerca del Paseo del Prado, rodeado de edificios emblemáticos, Ayto. Madrid, Los Jerónimos, Hoteles (Ritz, Palace), La Bolsa de Madrid, etc.
La zona dispone de todo tipo de servicios, cerca de la estación de Atocha y muy bien comunicada por transporte público (Metro, autobuses), dónde tienen sus sedes empresas destacadas en edificios exclusivos (Alfonso XII, Plaza Lealtad, Montalbán, Alfonso XI, Juan Esplandiu, Antonio Maura etc.. . ).
Actualmente reformandose. Disponible a mediados de febrero.

Alquiler y venta en las zonas más exclusivas de Madrid.";https://fotos.imghs.net/apps/1005/940/1005_425940_2_2024010410010369782.jpg;https://www.pisos.com/alquilar/piso-jeronimos28014-40002070530_100500/
 SA4389-MC03216/9935;Piso;Calle del General Arrando;Almagro ;Chamberí; Madrid Capital;96.0;95.0;0.0;3;2; 5;;;;2500.0;26.04;3441.98;25.93;25275.0;56281.0;"Piso, Madrid (Chamberí)

Se alquila piso de lujo amueblado, totalmente reformado, a estrenar, calefacción, aire acondicionado, con muchísima luz, todos los cuartos y baños con ventilación al exterior y con toalleros calefactables, portal con conserje, el dormitorio principal en suite con baño incluido, armarios empotrados aprovechando el pasillo, cocina moderna totalmente equipada, puerta de seguridad, 2500€/mes.

Características básicas
96 m² construidos
3 habitaciones
2 baños
Segunda mano/buen estado
Armarios empotrados
Orientación este
Amueblado y cocina equipada
Calefacción individual: Eléctrica
Edificio
Planta 5ª interior
Con ascensor
Equipamiento
Aire acondicionado";https://fotos.imghs.net/apps/1005/935/1005_190923039935_1_2023070318075004706.jpg;https://www.pisos.com/alquilar/piso-chamberi_almagro28010-35914979940_100500/
 SA2135-05431/7619;Piso;La Navata;La Navata ;Galapagar;Galapagar;80.0;75.0;0.0;2;2; 1;;;;1150.0;14.38;1362.06;13.71;14996.0;43503.0;"OBRA NUEVA 2023
Pisos de 2 habitaciones. Disponibles varios modelos. Tenemos acceso a todas las viviendas disponibles en la urbanización.
Mascotas, ¡son bienvenidas!

Varios modalidades de viviendas de 1, 2, 3, 4 y hasta 5 habitaciones. desde 950 €/MES hasta 1.750 €/mes La urbanización posee gran diversidad de modelos de viviendas, así que seguro encontramos la que mejor se adapte a tus necesidades y presupuesto.

En la Sierra Noreste, a 30 minutos de Madrid capital. Vivir en esta urbanización es gozar de todas las comodidades, comunicación y servicios. Estar cerca de la naturaleza, respirar aire puro, disfrutar de reservas naturales como es el Parque Regional del Curso Medio del río Guadarrama, o el embalse de Valmayor, paisajes y estupendas vistas, practicar todo tipo de deportes, o simplemente pasear.

ESTA PROPIEDAD ES ESPECIAL PORQUE:
Pisos como nuevos, construidos en 2023.Únicos en La Navata y disponibles en alquiler. Destaca el esmero en el diseño, calidades, ¡eficiencia energética!, buen gusto y todas las comodidades para vivir de forma práctica y tranquila.

Cuenta con PISTA DE PADEL donde practicar durante todo el año y una hermosa PISCINA de verano. El mantenimiento de la piscina es con sal, un tratamiento natural mucho más respetuoso con el medio ambiente y que evita problemas de piel reseca, ojos rojos, etc.

DISTRIBUCIÓN PISO 2 HABITACIONES:

- 2 habitaciones con armarios empotrados

- Salón/comedor/cocina, tipo americana

- Balcón y/o terraza

- Dos baños completos con plato de ducha

- Pasillo distribuidor

- Plaza de garaje incluida

- Piscina (zonas comunes)

- Pista de pádel.

ES IMPORTANTE SABER QUE:
Todos los pisos vienen equipados con cocina de inducción, campana extractora de humos, horno y microondas.
La climatización (calor y frío) es eficiente y ecológica, con aerotermia, tecnología puntera que permite un gran ahorro energético. Todas las habitaciones cuentan con termostato para regular la temperatura según las necesidades de cada uno y de cada momento.

Los cerramientos (ventanas y puertas que dan a la terraza, balcones o patio) son de PVC, de triple acristalamiento y Climalit de última generación, por lo que se cuenta con el mejor aislamiento térmico y sonoro posible.
Los suelos son porcelánicos, lo que facilita la climatización, así también la limpieza y conservación.

SERVICIOS:
La urbanización se encuentra a escasos minutos de supermercados, centro de salud, farmacia, colegios, institutos, zonas deportivas, parques, etc. El centro de Galapagar está a 10 minutos andando y hay bancos, peluquerías, dentistas, ferreterías, pastelerías, gimnasios, todo tipo de comercios y servicios.

TRANSPORTE:
A 30 Km. De Madrid capital. Se accede desde la A-6 y la M-510.
Hay numerosas opciones de transporte público, ya sea en bus o en el tren de cercanías Galapagar-La Navata.
Perfectamente comunicado con Torrelodones, Las Rozas, Colmenarejo, Villalba y todos los pueblos aledaños.

CONDICIONES DEL ALQUILER:

MEDIO MES GRATIS (de carencia) para mudarse con mayor facilidad y tranquilidad!
1 mes de fianza, 1 mes de garantía

2 habitaciones: 1.150 €/mes

REQUISITOS:

Trabajador/a por cuenta ajena:
-Identificación (DNI/NIE/Pasaporte)
-Copia último contrato laboral
-Copia tres últimas nóminas
-Declaración de la última renta
-Vida Laboral.

Autónomos/as:
-Tres últimas declaraciones de IVA
-Tres últimos recibos de la Seguridad Social
-Declaración de la última renta.
-Vida Laboral.

NO COBRAMOS HONORARIOS AL INQUILINO
LAS FOTOGRAFÍAS NO SON VINCULANTES. Existen varios modelos de pisos en la urbanización y tenemos acceso a todas las viviendas disponibles para alquilar.";https://fotos.imghs.net/apps/1005/619/1005_207069887619_1_2024012410011230928.jpg;https://www.pisos.com/alquilar/piso-galapagar_la_navata28260-40931602792_100500/
 SA4389-MC03379/9935;Piso;Calle de Leganitos;Palacio ;Centro; Madrid Capital;56.0;55.0;0.0;2;1; 4;;;;2100.0;37.5;2787.63;26.98;19199.0;38360.0;"Piso, Madrid (Madrid Centro)

Tipo cliente: particular

Alquilo lindo apartamento con excelentes espacios para tu comodidad se trata de un piso que cuenta con 2 habitaciones y 1 baño, es ideal para dos personas en Plaza de España en Calle Leganitos 35. Amplias habitaciones, salón, cocina totalmente equipada (lavadora y secadora) y baño moderno. Seriedad.

Características básicas

Tipo de inmueble: Piso
Orientación: Sur
Estado: Muy bien
Antigüedad: 10 a 20 años
Ascensor: Sí

Aire acondicionado
Armarios
Calefacción
Parquet
Cocina Office Electrodomésticos Horno Lavadora Microondas Nevera
Serv. portería
TV
Puerta Blindada";https://fotos.imghs.net/apps/1005/935/1005_196028949935_1_2023091113094995885.jpg;https://www.pisos.com/alquilar/piso-centro_palacio28013-37548258414_100500/
