Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;<img>Url_foto;Url_vivienda ;Coordenadas;Latitude;Longitude
 4524821-MY300124;Piso;delicias;Delicias ;Arganzuela; Madrid Capital;72;70;0;1;1; Bajo;; Reformado;;1300;18.06;1677.38;22.02;20103;46699;"¡Descubre la Vida en Delicias, Frente al Parque Tierno Galván!

Ubicado en el corazón de Delicias, este encantador loft ofrece una experiencia de vida única en una de las zonas más vibrantes y solicitadas de la ciudad. La joya de la corona es su ubicación frente al hermoso Parque Tierno Galván, que brinda un oasis de tranquilidad y naturaleza justo fuera de tu puerta.

- Características de la Zona:
*Parque Tierno Galván: Disfruta de paseos relajantes, actividades al aire libre y la belleza natural del parque que se encuentra a solo unos pasos de distancia.
*Servicios Locales: La zona cuenta con una amplia variedad de servicios, desde tiendas locales hasta restaurantes acogedores, todo a poca distancia.
*Conexiones de Transporte: Accede fácilmente al transporte público y a las principales vías de la ciudad, facilitando tus desplazamientos diarios.

- Sobre el Loft:
Este moderno loft de una habitación y un baño ha sido recientemente reformado, ofreciendo un espacio contemporáneo y acogedor para llamar hogar. Totalmente amueblado y con una cocina equipada con electrodomésticos modernos, este loft es perfecto para aquellos que buscan comodidad y estilo en un entorno tranquilo y conveniente.

- Características del Loft:

*Dormitorios: 1
*Baños: 1
*Amueblado: Sí
*Cocina: Equipada con electrodomésticos modernos.
*Reformado: Recientemente renovado para brindar un ambiente fresco y actualizado.

- Condiciones de Alquiler:
* Precio de Alquiler: 1.300 euros.
* Fianza: 1
* Garantía adicional: 1
* Duración del Contrato: mínimo 12 meses - alquiler larga estancia.

- Requisitos:
Se solicitarán comprobantes de ingresos ya que se realizará estudio de solvencia a través de seguro de impago.

Contacto:
Para programar una visita o recibir más información, no dudes en ponerte en contacto con nosotros. Estamos encantados de mostrarte tu próximo hogar. En ACLARA te lo ACLARAmos todo.

¡No pierdas la oportunidad de vivir en este encantador loft, donde la comodidad se encuentra con la naturaleza en el corazón de Delicias! ¡Esperamos tu llamada!";https://fotos.imghs.net/apps/524821/40838952574.524821/524821_40838952574_3_20240130220103794.jpg;https://www.pisos.com/alquilar/piso-arganzuela_delicias-40838952574_524821/;(40.3967843, -3.6900384);40.3967843;-3.6900384
 996542-1536 AM;Piso;Calle de Fomento;Palacio ;Centro; Madrid Capital;99;89;0;2;2;2; Menos de 5 años; A estrenar;;3400;34.34;2787.63;26.98;19199;38360;"Diplomatic Real Estate ofrece bonito piso amueblado en palacio-centro a escasos metros de la Plaza de España. En magnifica ubicación, muy buenas comunicaciones y servicios en el entorno. En edificio reformado a estrenar. Incluye Servicios de luz, agua e internet. La vivienda consta de un salón con balcón a la calle,comedor y cocina independiente completamente equipada. Dos dormitorios con dos baños en suite. Calefacción y aire acondicionado por aerotermia. Apartamento a estrenar.
Esperamos su llamada, 91 564 77 00
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.
Información general";https://fotos.imghs.net/apps/996542/40917563853.996542/996542_40917563853_1_20240116121003062.jpg;https://www.pisos.com/alquilar/piso-centro_palacio28013-40917563853_996542/;(40.420869, -3.710313);40.420869;-3.710313
 SA4389-MC03522/9935;Piso;Calle de Santa Casilda;Imperial ;Arganzuela; Madrid Capital;145;143;0;4;2;4;;;;2300;15.86;1677.38;22.02;20103;46699;"Piso, Madrid (Arganzuela)

Amplio Piso Exterior esquina. 145 m² construidos. Jardín, piscina, plaza de garaje. Sin muebles. Buen estado, calefacción y agua caliente individual gas natural.
Salón, Cocina Office amueblada 2 espacios, 4 amplios dormitorios con armarios empotrados.
2 baños con muebles y accesorios.
Zona bien comunicada. Servicios.
Planta 4 de un edificio de 6 plantas con ascensores. 4 vecinos por planta
Lavadora. Horno. Frigorífico.

Suelos de parquet Terrazas en salón y cocina. Puerta blindada.
Portero físico y automático.

Características básicas
145 m² construidos
4 habitaciones
2 baños
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Edificio
Planta 4ª exterior
Con ascensor
Equipamiento
Piscina";https://fotos.imghs.net/apps/1005/935/1005_209345059935_1_2024020713025019565.jpg;https://www.pisos.com/alquilar/piso-imperial28005-41724695812_100500/;(40.4048066, -3.7128067);40.4048066;-3.7128067
 1794-001117;Chalet adosado;El Soto de La Moraleja;El Soto de la Moraleja ;Alcobendas;La Moraleja;200;200;0;4;4;0; Entre 20 y 30 años; En buen estado;;3300;16.5;4462.56;19.35;19394;57962;MAGNAPOL Alquila Adosado 200 mts muy luminoso, muy próximo a los colegios ,urbanización con piscina y zonas verdes muy agradables 4 dormitorios ,tres baños ,1 aseo, cocina y tendedero ,amplio salon con ventanales al verde de la urbanización 1 plaza de garaje,;https://fotos.imghs.net/apps/1794/196345028.179400/1794_196345028_15_20170321175122.jpg;https://www.pisos.com/alquilar/chalet_adosado-el_soto_de_la_moraleja-196345028_179400/;(40.5243786, -3.6396004088235294);40.5243786;-3.639600409
 SA4389-MC03529/9935;Piso;Calle del Conde de Cartagena;Niño Jesús ;Retiro; Madrid Capital;165;164;0;4;3;9;;;;3700;22.42;2506.52;22.52;23925;57448;"Piso, Madrid (Retiro)

Se alquila espectacular piso de lujo de 150 metros útiles en Niño Jesús. La vivienda es completamente exterior. Se trata de un ático (ultimo piso) muy moderno, con gran luminosidad y con unas magníficas vistas laterales al Parque del Retiro, a las zonas altas de Madrid y a un parque privado.

Se trata de una vivienda completamente nueva, muy luminosa y diseñada por un arquitecto reconocido, en una zona muy tranquila, habiendo realizado una reforma integral con las mejores calidades del mercado. Todo a estrenar. Aire acondicionado en todas las estancias.

Se incluyen todos los electrodomésticos de las mejores marcas nuevos; lavadora, secadora, lavavajillas, horno, microondas, placa de inducción, campana extractora de diseño etc …

Se distribuye en un salón muy espacioso de 50 m2, con una magnifica terraza con estupendas vistas, una amplia cocina completa con los mejores electrométricos a estrenar, 3 dormitorios dobles, el principal, con un gran vestidor y un baño en suite. Los otros dos son muy luminosos con orientación sur. Dispone de 3 cuartos de baño (un aseo). Armarios completamente vestidos de la mejor calidad. Toda la vivienda es muy amplia y con una estupenda distribución, moderna y muy confortable.

El edificio está situado en la calle del Conde de Cartagena y cuenta con servicio de portería, y con amplios jardines de uso privativo en el propio inmueble.

Hay un Mercadona y un Supercor a menos de 50m.


Características básicas
165 m² construidos, 150 m² útiles
Sin habitación
3 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Cocina equipada y casa sin amueblar
Edificio
Planta 9ª exterior
Con ascensor
Equipamiento
Aire acondicionado";https://fotos.imghs.net/apps/1005/935/1005_209330949935_1_2024020815024791287.jpg;https://www.pisos.com/alquilar/piso-nino_jesus28007-41669093307_100500/;(40.4079155, -3.6740919);40.4079155;-3.6740919
 VE92-121-00298;Piso;Calle de Extremadura;Castañeras ;Arroyomolinos;Arroyomolinos;105;86;0;2;1;;;;;1200;11.43;1366.67;12.23;15275;48247;"Estupenda vivienda en planta baja, enclavada en una coqueta urbanización con piscina, con una magnifica y preciosa parcela privada de más de 42 metros. Situada en la mejor zona de Arroyomolinos, junto a todos los servicios (colegios, comercios, hostelería, grandes superficies.. . ).
Todas las estancias del inmueble son muy amplias (salón, dormitorios, cocina.. . ), y cuenta con cuatro grandes armarios empotrados. La terraza tendedero de la cocina está acristalada, y es un espacio idóneo para la ubicación de la lavadora.
El baño, completo, tiene una enorme ducha con mampara completa. Muy práctica, e ideal para relajarse un rato.
Se ha realizado un acondicionamiento general a la vivienda, habiéndose pintado todas las paredes en liso. La terraza tiene una pérgola que la cubre parcialmente, y cuenta con césped artificial en una gran parte de la misma. Todas las ventanas tienen mosquiteras y rejas (la del salón con cerradura).
La calefacción y el agua caliente son individuales, con caldera de gas natural. Dispone de un termostato programador que permite muy variadas posibilidades de uso. También tiene instalado aire acondicionado en el salón y en el dormitorio principal.
Por favor, interesados dejen número de teléfono para poder contactar. Gracias. (ref:121-00298)";https://fotos.imghs.net/apps/1077/298/1077_121-00298_1_2024011711220031250.jpg;https://www.pisos.com/alquilar/piso-arroyomolinos_castaneras-40912243057_107700/;(40.6554847, -3.7724595);40.6554847;-3.7724595
 IF76754-CASTELLANA;Piso;Avenida del General Perón;Cuatro Caminos ;Tetuán; Madrid Capital;55;;0;2;1;;;;;1800;32.73;1950.7;21.77;17026;39991;"Inmobiliaria Maqueda tiene disponible un impresionante piso en alquiler situado A pasos de la Castellana y de Cuatro Caminos, Tetuán, que ofrece vistas espectaculares y una abundante entrada de luz natural desde su posición privilegiada en la planta 24º. Con una distribución de 55m2, este apartamento se presenta de la siguiente manera:

El corazón de la vivienda es un amplio salón/comedor que ofrece unas vistas panorámicas hacia el Estadio Santiago Bernabéu y el resto de la ciudad. La cocina, de estilo americano, se encuentra integrada en este espacio, completamente amueblada y equipada con electrodomésticos tales como frigorífico, vitrocerámica, horno, lavavajillas, campana extractora y microondas.

El piso cuenta con dos habitaciones: una habitación doble con generosos armarios empotrados que ofrece comodidad y espacio de almacenamiento, y una habitación individual con armario propio. Además, hay un área destinada a la limpieza donde se encuentra la lavadora, proporcionando una mayor comodidad para los residentes.

El cuarto de baño está equipado con un plato de ducha, asegurando un espacio funcional y moderno. La propiedad dispone de calefacción central con contadores individuales, lo que permite un control personalizado de la temperatura. Además, cuenta con servicio de portería y ascensores para mayor comodidad y seguridad de los residentes.

En resumen, este piso ofrece no solo una ubicación privilegiada con vistas excepcionales, sino también comodidades modernas y prácticas que garantizan una experiencia de vida confortable en una de las zonas más destacadas de la ciudad.";https://fotos.imghs.net/apps/1018/402/1018_101960402_1_2023121815124021386.jpg;https://www.pisos.com/alquilar/piso-tetuan_cuatro_caminos28020-40013137861_101800/;(40.4525488, -3.6977582);40.4525488;-3.6977582
 IF6229-AR-1589;Piso;La Navata;La Navata ;Galapagar;Galapagar;45;;0;1;2;;; En buen estado;;950;21.11;1362.06;13.71;14996;43503;"Obra nueva en la navata.
Pisos de un dormitorio, con una superficie entre 45 m² , un baño completo con plato de ducha, y armarios empotrados. Salón comedor con cocina americana., y salida a patio/jardín de 15 m².
La calefacción y refrigeración, es a través de suelo radiante, mediante aerotermia, lo que hace que el consumo sea mínimo, y permite control de temperatura de manera independiente en cada habitación.
Dispone de plaza de garaje y trastero, incluido en el precio.
La urbanización cuenta con ascensor, piscina comunitaria de agua salada, y pista de pádel.
Todas las viviendas son de obra nueva a estrenar.
Condiciones: servicio de personal shopper inmobiliario +mes de fianza+mes de deposito.";https://fotos.imghs.net/apps/1018/372/1018_30007372_1_2022011820015154184.jpg;https://www.pisos.com/alquilar/piso-galapagar_la_navata28260-20914713117_101800/;(40.5941795, -3.9822248);40.5941795;-3.9822248
 SA4389-MC03505/9935;Piso;Calle de Federico Moreno Torroba;Adelfas ;Retiro; Madrid Capital;120;118;0;3;2;2;;;;2000;16.67;2506.52;22.52;23925;57448;"Piso, Madrid (Retiro)

ALQUILO PISO CON UNA EXCELENTE UBICACIÓN
Piso que consta de vestíbulo, salón comedor con terraza, tres dormitorios, dos cuartos de baño, cocina con tendedero y pasillo de distribución.
Suelo de parqué.
Doble ventana.
Aire Acondicionado por conductos en toda la casa.
Portero fisico.

-Características básicas
120 m² construidos, 100 m² útiles
3 habitaciones
2 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación este
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural
-Edificio
Planta 2ª exterior
Con ascensor
Equipamiento
Aire acondicionado
Piscina";https://fotos.imghs.net/apps/1005/935/1005_209347509935_1_2024020614024842567.jpg;https://www.pisos.com/alquilar/piso-adelfas28007-41750519612_100500/;(40.1888054, -3.772577);40.1888054;-3.772577
 IF6381-huertas atico;Dúplex;Calle de Santa María;Cortes-Huertas ;Centro; Madrid Capital;100;;0;2;1;5;; En buen estado;;1850;18.5;2787.63;26.98;19199;38360;"Único en la zona. ÁTICO con terraza de 25mts, vistas panorámicas. Mucha intimidad.
Duplex en 5ª planta con ascensor.
En la planta principal nos encontramos un amplio salón con techos altos, un distribuidor que da paso a la cocina en alto, dormitorio doble y baño con vestidor.
En la planta superior zona de despacho o zona de dormitorio con grandes Velux, y salida a terraza privada de 25mts, recientemente reformada.
Aire Acondicionado, amueblado con encanto.
Juntó calle Huertas, en calle tranquila sin bares.
Condiciones : 2 meses de fianza , nóminas y sin honorarios de agencia.
Entrada inmediata!";https://fotos.imghs.net/apps/1018/621/1018_34327621_0_2023091906090136372.jpg;https://www.pisos.com/alquilar/duplex-cortes_huertas28014-37575338293_101800/;(40.7346484, -3.5804956);40.7346484;-3.5804956
 SA4389-MC03302/9935;Piso;Calle de García Molinas;Universidad-Malasaña ;Centro; Madrid Capital;88;87;0;2;2;4;;;;3200;36.36;2787.63;26.98;19199;38360;"Alquiler lujosa vivienda decorada al detalle en plena Gran Vía.

El piso se distribuye en hall de entrada y gran salón-comedor, luminoso y con vistas a la Gran Vía, creando un ambiente acogedor. La cocina (integrada) de tonos blancos y grises, está completamente amueblada y equipada con electrodomésticos de alta calidad de la marca NEFF, integrados en la composición de la cocina (placa de inducción, lavadora-secadora, nevera, horno, microondas y lavaplatos), un dormitorio principal exterior e independiente del resto de la vivienda mediante una puerta de separación. Cuenta con un amplio baño equipado con una ducha de lluvia y una bañera con panel italiano. El baño está amueblado en tonos blancos y arena, con pulsadores integrados en la pared, toallero eléctrico y extractor. El dormitorio secundario cuenta con dos camas (aun que existe la opción de sustituirlo por una cama de matrimonio) y se ha mejorado con dos armarios para ofrecer un óptimo espacio de almacenaje en ambas habitaciones.
Cuenta con climatización por aire.

La vivienda ofrece una serie de características de alta calidad, como video portero,
cerradura inteligente, domótica, ventanas de doble rotura de puente térmico e
insonorización, iluminación LED en todo el piso, paredes lisas, suelo radiante de
parquet italiano con calefacción en el salón y los dormitorios, y suelo de porcelánico en
cocina y baños.
El edificio también cuenta con servicios excepcionales, como una piscina Infinity de
cristal en la terraza-ático, un gimnasio completamente equipado, solárium y zona chill-out.
Además, dispone de un parking domotizado con acceso directo desde el edificio, equipado con las últimas calidades.

Entre sus infinitas conexiones, se encuentran a poco más de un minuto a pie la estación de metro de Santo Domingo y de Plaza España.

CARACTERISTICAS BASICAS
Características básicas
88 m² construidos
2 habitaciones
2 baños
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación sur, oeste
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor
Edificio
Planta 4ª exterior
Con ascensor
Equipamiento
Aire acondicionado
Piscina";https://fotos.imghs.net/apps/1005/935/1005_194613539935_1_2023082214085045250.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28015-36697695325_100500/;(40.4223693, -3.7091297);40.4223693;-3.7091297
 996542-3723-JG;Piso;Calle de Sagasta;Justicia-Chueca ;Centro; Madrid Capital;110;100;0;2;2;3; Entre 30 y 50 años; Reformado;;3550;32.27;2787.63;26.98;19199;38360;"Diplomatic ofrece precioso piso con mobiliario moderno en el barrio de Justicia
2 balcones y mirador
Salón comedor de 24 m2..
2 dormitorios con baño en suite.
Cocina integrada en el salón equipada con electrodomésticos.
Suministros (agua, luz y gas) incluidos hasta 200€.
Gimnasio y Wifi para todo el edificio incluido.
Esperamos su llamada,
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.";https://fotos.imghs.net/apps/996542/37585930827.996542/996542_37585930827_1_20230922105648906.jpg;https://www.pisos.com/alquilar/piso-justicia_chueca28004-37585930827_996542/;(40.4282704, -3.6989541);40.4282704;-3.6989541
 4993204-13392782;Chalet unifamiliar;Carretera de las Dehesas;;Cercedilla;Cercedilla;80;70;5000;1;1;0;; En buen estado;;1200;15;1200;15;14279;36353;¡Increíble chalet independiente de 3 plantas en Alquiler! Con una parcela de 5.000 m2, este inmueble te ofrece una experiencia única rodeada de naturaleza. Disfruta de ventanales enormes que te brindarán vistas espectaculares a la zona. En la planta superior, encontrarás un dormitorio con armarios empotrados y grandes ventanales para disfrutar de la luz natural. Además, cuenta con un baño grande y completo. No te pierdas la sala interior y el espacioso salón-comedor con cocina americana y electrodomésticos incluidos. Relájate en la terraza de 40 m2 y disfruta del jardín privado. Con calefacción de gas natural canalizado, estarás siempre cómodo en cualquier época del año. ¡Y lo mejor de todo es su ubicación! A solo 7 minutos andando del casco urbano y a 5 minutos de la estación de Renfe de Cercedilla. Requisitos: contrato indefinido, nóminas y garantías de pago. Máximo se alquila a 2 personas. No dejes pasar esta oportunidad, ¡contáctanos ahora!;https://fotos.imghs.net/apps/993204/41700196112.993204/993204_41700196112_1_20240207122133749.jpg;https://www.pisos.com/alquilar/chalet_unifamiliar-cercedilla_centro_urbano-41700196112_993204/;(40.7683004, -4.0710375);40.7683004;-4.0710375
 996542-2987-AM;Piso;Calle de la Alameda;Cortes-Huertas ;Centro; Madrid Capital;100;95;0;2;3;1; Entre 30 y 50 años; Reformado;;2500;25;2787.63;26.98;19199;38360;"Diplomatic Real Estate ofrece piso en el barrio de las letras, reformado con mobiliario de diseño. Disponible el 1 de junio,
Salón comedor amplio con balcones a la calle y espléndidas vista. Chimenea.
2 dormitorios con cama doble, el principal con vestidor-
2 baños y 1 aseo invitados.
Cocina moderna equipada con electrodomésticos primeras marcas.
Admite mascotas.
Armarios empotrados.
Domótica y encendido de luces por sensores.
Admite mascotas.
Esperamos su llamada en el 91 564 77 00.
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles. www.diplomatic. es";https://fotos.imghs.net/apps/996542/26739678815.996542/996542_26739678815_1_20220803201253346.jpg;https://www.pisos.com/alquilar/piso-cortes_huertas28012-26739678815_996542/;(40.41160535, -3.693952444873624);40.41160535;-3.693952445
 SA2135-05404/7619;Casa adosada;Centro;Centro-Parque de La Manguilla ;El Escorial;El Escorial;109;;198;3;3;0;;;;1600;14.68;1280;11.26;15320;40283;"Chalet adosado con jardín delantero, ubicado en una zona tranquila a 10 minutos caminando de la zona comercial de el escorial, del renfe y de colegios.

Es importante saber que es un chalet con mucha luz, la calefacción es por radiadores conectados a la estufa de pellets.
La vivienda dispone de termo eléctrico para el agua caliente.
La vivienda se entrega sin amueblar, excepto el semisótano. La cocina dispone de muebles y electrodomésticos.

Distribución:

Planta baja
Salón comedor con una gran ventana con vistas al jardín delantero y salida a una terraza trasera. La cocina está equipada con vitrocerámica, extractor de humos, lavadora, nevera, lavavajilla y microondas. Dispones de un aseo

Planta alta
3 dormitorios y un baño. Uno de los dormitorios con terraza y vistas despejadas.

Planta semisotano
Dispones de un espacio diáfano con una pequeña cocina, un dormitorio y un baño.

Condiciones economicas y disponibilidad del alquiler
- disponible para entrar a partir del 01 de febrero
- un mes de fianza
- un mes de garantía adicional
- un mes en curso
- seguro de rentas

Comunicaciones:
Autobuses a moncloa, galapagar, guadarrama, estación de cercanías renfe.
Muy bien comunicado por carretera con salida a la m-505, m-600, ap 6 y nvi.

Colegios y universidades:
- colegio público felipe ii
- e.i. Gerardo gil
- ies el escorial
- colegio público san lorenzo.
- colegio alfonso xii
- colegio religiosas concepcionistas.
- colegio inmaculada concepción.
- colegio padre antonio soler.
- colegio universitario maría cristina.

Comercio, servicio y ocio:
Zona muy céntrica; con todo tipo de comercio local, supermercados, farmacias, etc.
Gran variedad de locales de restauración, caferías, tapeo, agradables terrazas.

Servicios de atención sanitaria:
Hospital universitario el escorial, centros de salud privados y públicos, clínicas dentales, fisioterapia.";https://fotos.imghs.net/apps/1005/619/1005_206096767619_1_2024020721025310385.jpg;https://www.pisos.com/alquilar/casa_adosada-centro_parque_de_la_manguilla-40874491265_100500/;(40.417652700000005, -3.70795469569446);40.4176527;-3.707954696
 1794-001208;Chalet adosado;El Soto de La Moraleja;El Soto de la Moraleja ;Alcobendas;La Moraleja;210;200;0;4;4;0; Entre 30 y 50 años; Reformado;;3500;16.67;4462.56;19.35;19394;57962;"MAGNAPOL ALQUILA adosado REFORMADO , próximo a la zona de los colegios, cercano al metro y a Centro de ocio.
El adosado cuenta con tres plantas: en la planta principal se encuentra el Salón con amplio ventanal y salida directa al Jardín, un aseo de invitados, la Cocina con grandes ventanales y un amplio office .
En la primera planta se encuentra la zona de dormitorios, uno principal en suite y dos que comparten un baño.
En la ultima planta se encuentra la buhardilla, con un dormitorio ,un baño completo a estrenar, y un espacio para Playroom. La vivienda cuenta con Aire Acondicionado y Calefacción por Gas natural.
La urbanización cuenta con piscina, y amplias zonas verdes.";https://fotos.imghs.net/apps/1794/276363261.179400/1794_276363261_19_20200504140023067.jpg;https://www.pisos.com/alquilar/chalet_adosado-el_soto_de_la_moraleja-276363261_179400/;(40.5243786, -3.6396004088235294);40.5243786;-3.639600409
 SA4389-MC03534/9935;Piso;Paseo de la Infanta Isabel;Jerónimos ;Retiro; Madrid Capital;70;69;0;3;2;4;;;;2500;35.71;2506.52;22.52;23925;57448;"Piso, Madrid (Retiro)

Piso recién reformado en infanta Isabel.4to piso exterior con dos balcones a la calle.Recien reformado.Electrodomesticos a estrenar.Doble ventana.Muy luminoso.Edificio señorial,portero fisico.
Frente a la estaciòn de atocha,al lado del retiro.Bien comunicado,tren,metro,tiendas";https://fotos.imghs.net/apps/1005/935/1005_209333309935_1_2024020816024858001.jpg;https://www.pisos.com/alquilar/piso-jeronimos28014-41691341767_100500/;(40.4065972, -3.6872704);40.4065972;-3.6872704
 SA4389-MC03453/9935;Piso;Plaza Comendadoras;Universidad-Malasaña ;Centro; Madrid Capital;110;109;0;1;2;4;;;;2500;22.73;2787.63;26.98;19199;38360;"Piso, Madrid (Madrid Centro)
Disponible a partir del 24 de Octubre.
Precioso Atico Duplex con terraza en el corazon de Malasaña.
Situado en la iconica Plaza de las Comendadoras, a cinco minutos de l Gran Via y de Plaza de España, es el alojamiento perfecto para vivir la capital.
Desde la terraza podràs disfrutar una de las mejores vista de Madrid.
Reformado en 2022, el apartamento esta distribuido en dos plantas y cuenta con todos los confort: amplio salon, dos baños, cocina, oficina con amplio escritorio ideal para trabajar, lavadora/secadora y barbacoa.

-Características básicas
110 m² construidos
1 habitación
2 baños
Terraza
Segunda mano/buen estado
Orientación norte, sur
Amueblado y cocina equipada
Edificio
Planta 4ª exterior
Sin ascensor";https://fotos.imghs.net/apps/1005/935/1005_199238689935_1_2023101716104856503.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28015-38432336388_100500/;(40.42718205, -3.7089265245005256);40.42718205;-3.708926525
 SA3124-1164 CALLE VALENCIA;Piso;Ronda de Valencia;Embajadores-Lavapiés ;Centro; Madrid Capital;85;;0;3;1;3;;;;1800;21.18;2787.63;26.98;19199;38360;"Jcb asesores alquila piso nuevo sin estrenar y sin amueblar. (duracion maxima del contrato 11 meses, renovable)

Totalmente amueblado basico 1.900 euros mes.

La vivienda consta de salon comedor con dos balcones a la calle, tres habitaciones con balcon a la calle, un baño, cocina y hall de entrada.

La cocina se encuentra totalmente amueblada y equipada con electrodomesticos.

Dispone de calefaccion electrica, suelos de tarima, paredes lisas, puertas de paso modernas de madera y ventanas con rotura de puente termico acustico.

Por tratarse de una zona absolutamente consolidada, en las cercanias se dispone de todo tipo de servicios, educativos, medicos, culturales, comerciales, de ocio, etc.

En la cercania se dispone varias lineas de autobuses de la emt, a 200 metros disponemos de la estacion de metro de lavapies y a 400 metros disponemos de la estacion de metro y renfe de embajadores.

Disponible 1 de marzo
Visitable.
No se admiten mascotas.

Fianza 2 meses.
Mes en curso.
Agencia 1 mes + iva (por no estar sujeto a la nueva reforma de la lau)

Requisitos, contratacion indefinida, 3 ultimas nominas con ingresos superiores a 4.500 euros.

Solicite una visita. "". "". "". "". "". "". "". "". "".";https://fotos.imghs.net/apps/1005/161/1005_103984161_1_2024021222020788289.jpg;https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-41730796303_100500/;(40.4053508, -3.7016066);40.4053508;-3.7016066
 996542-3258-VC;Ático;Calle de Fomento;Palacio ;Centro; Madrid Capital;180;170;0;3;3;3; Más de 50 años; Reformado;;7000;38.89;2787.63;26.98;19199;38360;"Diplomatic Real Estate alquila fantástico ático reformado, en el que se han utilizado materiales de excelente calidad, cuidando todos los detalles al máximo, exterior y muy luminoso, dada su orientación, situado en un palacete señorial del siglo XVIII y rehabilitado en 1940.

Su distribución es la siguiente: Hall de entrada unido al salón-comedor con una fantástica chimenea, y varios ventanales que lo hacen muy luminoso. Dispone de una cocina independiente totalmente equipada y amueblada. La zona de noche se compone de 3 fabulosos dormitorios en suite y además, el principal, destaca por una espectacular sala de estar y puerta de acceso a la terraza de 120 metros cuadrados con preciosas vistas para disfrutar de bellos atardeceres. Los acabados de la vivienda son espectaculares en todas las estancias. Tiene aire acondicionado y calefacción por aerotermia. La vivienda se alquila amueblada (de diseño) y equipada. Dispone de wifi en todas las estancias y los gastos están incluidos hasta 200 € al mes en la luz.
Posibilidad de alquilar plazas de garaje cercanas al inmueble.
Alquiler por meses hasta un año.
Disponible en enero 2024.
Si se alquila junto a un estudio en suite con pequeña cocina independiente, el precio asciende a 8.500 € al mes.
Al lado se encuentra un cuarto independiente con lavadora / secadora.
Esperamos su llamada, 91 564 77 00
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.";https://fotos.imghs.net/apps/996542/39238491097.996542/996542_39238491097_1_20231107121222321.jpg;https://www.pisos.com/alquilar/atico-centro_palacio28013-39238491097_996542/;(40.420869, -3.710313);40.420869;-3.710313
 996542-2972 AM;Piso;Calle del Río;Palacio ;Centro; Madrid Capital;60;56;0;1;1;4; Menos de 5 años; A estrenar;;2500;41.67;2787.63;26.98;19199;38360;"Diplomatic Real Estate ofrece bonito apartamento amueblado en palacio-centro a escasos metros de la Plaza de España. En magnifica ubicación, muy buenas comunicaciones y servicios en el entorno. En edificio reformado a estrenar. Incluye Servicios de luz, agua e internet. La vivienda consta de un salon-comedor-cocina, todo en un mismo espacio integrado y un dormitorio con baño en suit. Calefacción y aire acondicionado por aerotermia. Apartamento a estrenar.
Esperamos su llamada, 91 564 77 00
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.";https://fotos.imghs.net/apps/996542/40069896135.996542/996542_40069896135_1_20231214120302174.jpg;https://www.pisos.com/alquilar/piso-centro_palacio28013-40069896135_996542/;(40.4224845, -3.7112676);40.4224845;-3.7112676
